,10000,25000,50000,75000,100000,125000,150000
18,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
19,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
20,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
21,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
22,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
23,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
24,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
25,1.90,3.26,5.52,7.78,10.04,12.30,14.56,
26,1.91,3.27,5.55,7.82,10.10,12.37,14.64,
27,1.92,3.31,5.62,7.92,10.23,12.54,14.85,
28,1.94,3.36,5.72,8.08,10.44,12.80,15.16,
29,1.97,3.43,5.86,8.28,10.71,13.14,15.57,
30,2.00,3.51,6.02,8.53,11.04,13.55,16.06,
31,2.04,3.59,6.18,8.77,11.37,13.96,16.55,
32,2.07,3.67,6.35,9.02,11.69,14.37,17.04,
33,2.11,3.76,6.53,9.29,12.06,14.82,17.59,
34,2.15,3.88,6.75,9.63,12.50,15.38,18.25,
35,2.20,4.01,7.02,10.03,13.04,16.05,19.06,
36,2.28,4.19,7.38,10.58,13.77,16.96,20.15,
37,2.37,4.42,7.85,11.27,14.69,18.12,21.54,
38,2.48,4.70,8.40,12.11,15.81,19.51,23.21,
39,2.61,5.03,9.06,13.09,17.12,21.14,25.17,
40,2.75,5.38,9.77,14.15,18.54,22.92,27.31,
41,2.90,5.74,10.48,15.22,19.96,24.70,29.44,
42,3.04,6.10,11.20,16.30,21.40,26.50,31.61,
43,3.19,6.47,11.94,17.41,22.88,28.36,33.83,
44,3.34,6.86,12.71,18.57,24.42,30.28,36.13,
45,3.51,7.26,13.53,19.79,26.06,32.32,38.59,
46,3.68,7.71,14.41,21.12,27.83,34.53,41.24,
47,3.88,8.19,15.38,22.56,29.75,36.94,44.13,
48,4.08,8.70,16.39,24.09,31.79,39.49,47.18,
49,4.29,9.23,17.45,25.68,33.90,42.13,50.36,
50,4.51,9.77,18.54,27.31,36.08,44.85,53.62,
51,4.73,10.33,19.65,28.98,38.31,47.63,56.96,
52,4.96,10.90,20.81,30.71,40.62,50.52,60.42,
53,5.21,11.51,22.03,32.54,43.06,53.57,64.09,
54,5.47,12.17,23.35,34.52,45.69,56.87,68.04,
55,5.76,12.90,24.80,36.70,48.60,60.50,72.39,
56,6.08,13.71,26.41,39.12,51.83,64.53,77.24,
57,6.44,14.60,28.19,41.79,55.38,68.98,82.58,
58,6.82,15.56,30.12,44.67,59.23,73.79,88.35,
59,7.23,16.58,32.16,47.75,63.33,78.91,94.49,
60,7.66,17.65,34.31,50.96,67.62,84.27,100.92,
61,8.10,18.75,36.50,54.25,72.00,89.75,107.50,
62,8.55,19.87,38.74,57.61,76.48,95.35,114.22,
63,9.01,21.02,41.05,61.07,81.10,101.12,121.14,
64,9.49,22.23,43.45,64.68,85.90,107.13,128.36,
65,10.02,23.54,46.08,68.62,91.15,113.69,136.23,
66,10.62,25.04,49.09,73.13,97.17,121.22,145.26,
67,11.34,26.86,52.72,78.58,104.44,130.30,156.16,
68,12.25,29.13,57.27,85.40,113.54,141.67,169.81,
69,13.39,31.99,62.97,93.96,124.94,155.93,186.91,
70,14.82,35.56,70.12,104.67,139.23,173.79,208.35,
