age,emp1_prem,emp1_cov,emp2_prem,emp2_cov,emp3_prem,emp3_cov,sp1_prem,sp1_cov,sp2_prem,sp2_cov,sp3_prem,sp3_cov,ch1_prem,ch1_cov,ch2_prem,ch2_cov,ch3_prem,ch3_cov
18,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
19,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
20,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
21,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
22,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
23,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
24,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
25,10.04,100000,12.30,125000,14.56,150000,1.90,10000,5.52,50000,7.78,75000,,,1.15,10000,2.3,20000
26,10.10,100000,12.37,125000,14.64,150000,1.91,10000,5.55,50000,7.82,75000,,,1.15,10000,2.3,20000
27,10.23,100000,12.54,125000,14.85,150000,1.92,10000,5.62,50000,7.92,75000,,,1.15,10000,2.3,20000
28,10.44,100000,12.80,125000,15.16,150000,1.94,10000,5.72,50000,8.08,75000,,,1.15,10000,2.3,20000
29,10.71,100000,13.14,125000,15.57,150000,1.97,10000,5.86,50000,8.28,75000,,,1.15,10000,2.3,20000
30,11.04,100000,13.55,125000,16.06,150000,2.00,10000,6.02,50000,8.53,75000,,,1.15,10000,2.3,20000
31,11.37,100000,13.96,125000,16.55,150000,2.04,10000,6.18,50000,8.77,75000,,,1.15,10000,2.3,20000
32,11.69,100000,14.37,125000,17.04,150000,2.07,10000,6.35,50000,9.02,75000,,,1.15,10000,2.3,20000
33,12.06,100000,14.82,125000,17.59,150000,2.11,10000,6.53,50000,9.29,75000,,,1.15,10000,2.3,20000
34,12.50,100000,15.38,125000,18.25,150000,2.15,10000,6.75,50000,9.63,75000,,,1.15,10000,2.3,20000
35,13.04,100000,16.05,125000,19.06,150000,2.20,10000,7.02,50000,10.03,75000,,,1.15,10000,2.3,20000
36,13.77,100000,16.96,125000,20.15,150000,2.28,10000,7.38,50000,10.58,75000,,,1.15,10000,2.3,20000
37,14.69,100000,18.12,125000,21.54,150000,2.37,10000,7.85,50000,11.27,75000,,,1.15,10000,2.3,20000
38,15.81,100000,19.51,125000,23.21,150000,2.48,10000,8.40,50000,12.11,75000,,,1.15,10000,2.3,20000
39,17.12,100000,21.14,125000,25.17,150000,2.61,10000,9.06,50000,13.09,75000,,,1.15,10000,2.3,20000
40,18.54,100000,22.92,125000,27.31,150000,2.75,10000,9.77,50000,14.15,75000,,,1.15,10000,2.3,20000
41,15.22,75000,24.70,125000,29.44,150000,2.90,10000,10.48,50000,15.22,75000,,,1.15,10000,2.3,20000
42,16.30,75000,21.40,100000,31.61,150000,3.04,10000,11.20,50000,16.30,75000,,,1.15,10000,2.3,20000
43,17.41,75000,22.88,100000,28.36,125000,3.19,10000,11.94,50000,11.94,50000,,,1.15,10000,2.3,20000
44,18.57,75000,24.42,100000,30.28,125000,3.34,10000,12.71,50000,12.71,50000,,,1.15,10000,2.3,20000
45,13.53,50000,19.79,75000,26.06,100000,3.51,10000,7.26,25000,13.53,50000,,,1.15,10000,2.3,20000
46,14.41,50000,21.12,75000,27.83,100000,3.68,10000,7.71,25000,14.41,50000,,,1.15,10000,2.3,20000
47,15.38,50000,22.56,75000,29.75,100000,3.88,10000,8.19,25000,15.38,50000,,,1.15,10000,2.3,20000
48,16.39,50000,24.09,75000,31.79,100000,4.08,10000,8.70,25000,16.39,50000,,,1.15,10000,2.3,20000
49,17.45,50000,25.68,75000,42.13,125000,4.29,10000,9.23,25000,17.45,50000,,,1.15,10000,2.3,20000
50,18.54,50000,27.31,75000,36.08,100000,4.51,10000,9.77,25000,18.54,50000,,,1.15,10000,2.3,20000
51,19.65,50000,28.98,75000,38.31,100000,4.73,10000,10.33,25000,19.65,50000,,,1.15,10000,2.3,20000
52,20.81,50000,30.71,75000,40.62,100000,4.96,10000,10.90,25000,20.81,50000,,,1.15,10000,2.3,20000
53,22.03,50000,22.03,50000,32.54,75000,5.21,10000,11.51,25000,11.51,25000,,,1.15,10000,2.3,20000
54,23.35,50000,23.35,50000,34.52,75000,5.47,10000,12.17,25000,12.17,25000,,,1.15,10000,2.3,20000
55,12.90,25000,24.80,50000,36.70,75000,5.76,10000,12.90,25000,12.90,25000,,,1.15,10000,2.3,20000
56,13.71,25000,26.41,50000,39.12,75000,6.08,10000,13.71,25000,13.71,25000,,,1.15,10000,2.3,20000
57,6.44,10000,14.60,25000,28.19,50000,6.44,10000,6.44,10000,14.60,25000,,,1.15,10000,2.3,20000
58,6.82,10000,15.56,25000,30.12,50000,6.82,10000,6.82,10000,15.56,25000,,,1.15,10000,2.3,20000
59,7.23,10000,16.58,25000,32.16,50000,7.23,10000,7.23,10000,16.58,25000,,,1.15,10000,2.3,20000
60,7.66,10000,17.65,25000,34.31,50000,7.66,10000,7.66,10000,17.65,25000,,,1.15,10000,2.3,20000
61,8.10,10000,18.75,25000,36.50,50000,8.10,10000,8.10,10000,18.75,25000,,,1.15,10000,2.3,20000
62,8.55,10000,19.87,25000,38.74,50000,8.55,10000,8.55,10000,19.87,25000,,,1.15,10000,2.3,20000
63,9.01,10000,21.02,25000,41.05,50000,9.01,10000,9.01,10000,21.02,25000,,,1.15,10000,2.3,20000
64,9.49,10000,22.23,25000,43.45,50000,9.49,10000,9.49,10000,22.23,25000,,,1.15,10000,2.3,20000
65,10.02,10000,23.54,25000,46.08,50000,10.02,10000,10.02,10000,23.54,25000,,,1.15,10000,2.3,20000
66,10.62,10000,25.04,25000,49.09,50000,10.62,10000,10.62,10000,25.04,25000,,,1.15,10000,2.3,20000
67,11.34,10000,26.86,25000,52.72,50000,11.34,10000,11.34,10000,26.86,25000,,,1.15,10000,2.3,20000
68,12.25,10000,29.13,25000,57.27,50000,12.25,10000,12.25,10000,29.13,25000,,,1.15,10000,2.3,20000
69,13.39,10000,31.99,25000,62.97,50000,13.39,10000,13.39,10000,31.99,25000,,,1.15,10000,2.3,20000
70,14.82,10000,35.56,25000,70.12,50000,14.82,10000,14.82,10000,35.56,25000,,,1.15,10000,2.3,20000
