age,emp1_prem,emp1_cov,emp2_prem,emp2_cov,emp3_prem,emp3_cov,sp1_prem,sp1_cov,sp2_prem,sp2_cov,sp3_prem,sp3_cov,ch1_prem,ch1_cov,ch2_prem,ch2_cov,ch3_prem,ch3_cov
18,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
19,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
20,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
21,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
22,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
23,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
24,1.96,50000,2.94,75000,3.92,100000,0.49,12500,0.78,20000,0.98,25000,,,0.75,10000,0.75,10000
25,2.48,50000,3.72,75000,4.96,100000,0.62,12500,0.99,20000,1.24,25000,,,0.75,10000,0.75,10000
26,2.48,50000,3.72,75000,4.96,100000,0.62,12500,0.99,20000,1.24,25000,,,0.75,10000,0.75,10000
27,2.48,50000,3.72,75000,4.96,100000,0.62,12500,0.99,20000,1.24,25000,,,0.75,10000,0.75,10000
28,2.48,50000,3.72,75000,4.96,100000,0.62,12500,0.99,20000,1.24,25000,,,0.75,10000,0.75,10000
29,2.48,50000,3.72,75000,4.96,100000,0.62,12500,0.99,20000,1.24,25000,,,0.75,10000,0.75,10000
30,3.24,50000,4.87,75000,6.49,100000,0.81,12500,1.30,20000,1.62,25000,,,0.75,10000,0.75,10000
31,3.24,50000,4.87,75000,6.49,100000,0.81,12500,1.30,20000,1.62,25000,,,0.75,10000,0.75,10000
32,3.24,50000,4.87,75000,6.49,100000,0.81,12500,1.30,20000,1.62,25000,,,0.75,10000,0.75,10000
33,3.24,50000,4.87,75000,6.49,100000,0.81,12500,1.30,20000,1.62,25000,,,0.75,10000,0.75,10000
