age,emp1_cov,sp1_cov,ch1_cov,emp2_cov,sp2_cov,ch2_cov,emp3_cov,sp3_cov,ch3_cov
18,15000,7500,2500,25000,12500,5000,25000,12500,10000
19,15000,7500,2500,25000,12500,5000,25000,12500,10000
20,15000,7500,2500,25000,12500,5000,25000,12500,10000
21,15000,7500,2500,25000,12500,5000,25000,12500,10000
22,15000,7500,2500,25000,12500,5000,25000,12500,10000
23,15000,7500,2500,25000,12500,5000,25000,12500,10000
24,15000,7500,2500,25000,12500,5000,25000,12500,10000
25,15000,7500,2500,25000,12500,5000,25000,12500,10000
26,15000,7500,2500,25000,12500,5000,25000,12500,10000
27,15000,7500,2500,25000,12500,5000,25000,12500,10000
28,15000,7500,2500,25000,12500,5000,25000,12500,10000
29,15000,7500,2500,25000,12500,5000,25000,12500,10000
30,15000,7500,2500,20000,10000,5000,25000,12500,10000
31,15000,7500,2500,20000,10000,5000,25000,12500,10000
32,15000,7500,2500,20000,10000,5000,25000,12500,10000
33,15000,7500,2500,20000,10000,5000,25000,12500,10000
34,15000,7500,2500,20000,10000,5000,25000,12500,10000
35,15000,7500,2500,20000,10000,5000,25000,12500,10000
36,15000,7500,2500,20000,10000,5000,25000,12500,10000
37,15000,7500,2500,20000,10000,5000,25000,12500,10000
38,15000,7500,2500,20000,10000,5000,25000,12500,10000
39,15000,7500,2500,20000,10000,5000,25000,12500,10000
40,10000,5000,2500,15000,7500,5000,20000,10000,10000
41,10000,5000,2500,15000,7500,5000,20000,10000,10000
42,10000,5000,2500,15000,7500,5000,20000,10000,10000
43,10000,5000,2500,15000,7500,5000,20000,10000,10000
44,10000,5000,2500,15000,7500,5000,20000,10000,10000
45,10000,5000,2500,15000,7500,5000,20000,10000,10000
46,10000,5000,2500,15000,7500,5000,20000,10000,10000
47,10000,5000,2500,15000,7500,5000,20000,10000,10000
48,10000,5000,2500,15000,7500,5000,20000,10000,10000
49,10000,5000,2500,15000,7500,5000,20000,10000,10000
50,10000,2500,2500,10000,5000,5000,15000,7500,10000
51,10000,2500,2500,10000,5000,5000,15000,7500,10000
52,10000,2500,2500,10000,5000,5000,15000,7500,10000
53,10000,2500,2500,10000,5000,5000,15000,7500,10000
54,10000,2500,2500,10000,5000,5000,15000,7500,10000
55,10000,2500,2500,10000,5000,5000,15000,7500,10000
56,10000,2500,2500,10000,5000,5000,15000,7500,10000
57,10000,2500,2500,10000,5000,5000,15000,7500,10000
58,10000,2500,2500,10000,5000,5000,15000,7500,10000
59,10000,2500,2500,10000,5000,5000,15000,7500,10000
60,10000,2500,2500,10000,5000,5000,15000,7500,10000
61,5000,2500,2500,10000,5000,5000,15000,7500,10000
62,5000,2500,2500,10000,5000,5000,15000,7500,10000
63,5000,2500,2500,10000,5000,5000,15000,7500,10000
64,5000,2500,2500,10000,5000,5000,15000,7500,10000
65,5000,2500,2500,10000,5000,5000,15000,7500,10000
66,2500,,2500,2500,,5000,2500,,10000
67,2500,,2500,2500,,5000,2500,,10000
68,2500,,2500,2500,,5000,2500,,10000
69,2500,,2500,2500,,5000,2500,,10000
70,2500,,2500,2500,,5000,2500,,10000
