age,emp1_prem,emp1_cov,emp2_prem,emp2_cov,emp3_prem,emp3_cov,sp1_prem,sp1_cov,sp2_prem,sp2_cov,sp3_prem,sp3_cov,ch1_prem,ch1_cov,ch2_prem,ch2_cov,ch3_prem,ch3_cov
18,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
19,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
20,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
21,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
22,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
23,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
24,2.89,50000,4.34,75000,5.78,100000,0.72,12500,1.16,20000,1.45,25000,,,0.75,10000,0.75,10000
25,3.38,50000,5.07,75000,6.76,100000,0.85,12500,1.35,20000,1.69,25000,,,0.75,10000,0.75,10000
26,3.38,50000,5.07,75000,6.76,100000,0.85,12500,1.35,20000,1.69,25000,,,0.75,10000,0.75,10000
27,3.38,50000,5.07,75000,6.76,100000,0.85,12500,1.35,20000,1.69,25000,,,0.75,10000,0.75,10000
28,3.38,50000,5.07,75000,6.76,100000,0.85,12500,1.35,20000,1.69,25000,,,0.75,10000,0.75,10000
29,3.38,50000,5.07,75000,6.76,100000,0.85,12500,1.35,20000,1.69,25000,,,0.75,10000,0.75,10000
30,5.25,50000,7.88,75000,10.51,100000,1.31,12500,2.10,20000,2.63,25000,,,0.75,10000,0.75,10000
31,5.25,50000,7.88,75000,10.51,100000,1.31,12500,2.10,20000,2.63,25000,,,0.75,10000,0.75,10000
32,5.25,50000,7.88,75000,10.51,100000,1.31,12500,2.10,20000,2.63,25000,,,0.75,10000,0.75,10000
33,5.25,50000,7.88,75000,10.51,100000,1.31,12500,2.10,20000,2.63,25000,,,0.75,10000,0.75,10000
34,5.25,50000,7.88,75000,10.51,100000,1.31,12500,2.10,20000,2.63,25000,,,0.75,10000,0.75,10000
35,8.16,50000,12.25,75000,16.33,100000,2.04,12500,3.27,20000,4.08,25000,,,0.75,10000,0.75,10000
36,8.16,50000,12.25,75000,16.33,100000,2.04,12500,3.27,20000,4.08,25000,,,0.75,10000,0.75,10000
37,8.16,50000,12.25,75000,16.33,100000,2.04,12500,3.27,20000,4.08,25000,,,0.75,10000,0.75,10000
38,8.16,50000,12.25,75000,16.33,100000,2.04,12500,3.27,20000,4.08,25000,,,0.75,10000,0.75,10000
39,8.16,50000,12.25,75000,16.33,100000,2.04,12500,3.27,20000,4.08,25000,,,0.75,10000,0.75,10000
40,6.69,25000,13.38,50000,20.07,75000,2.68,10000,4.68,17500,5.35,20000,,,0.75,10000,0.75,10000
41,6.69,25000,13.38,50000,20.07,75000,2.68,10000,4.68,17500,5.35,20000,,,0.75,10000,0.75,10000
42,6.69,25000,13.38,50000,20.07,75000,2.68,10000,4.68,17500,5.35,20000,,,0.75,10000,0.75,10000
43,6.69,25000,13.38,50000,20.07,75000,2.68,10000,4.68,17500,5.35,20000,,,0.75,10000,0.75,10000
44,6.69,25000,13.38,50000,20.07,75000,2.68,10000,4.68,17500,5.35,20000,,,0.75,10000,0.75,10000
45,6.55,15000,10.91,25000,21.82,50000,4.36,10000,5.46,12500,8.73,20000,,,0.75,10000,0.75,10000
46,6.55,15000,10.91,25000,21.82,50000,4.36,10000,5.46,12500,8.73,20000,,,0.75,10000,0.75,10000
47,6.55,15000,10.91,25000,21.82,50000,4.36,10000,5.46,12500,8.73,20000,,,0.75,10000,0.75,10000
48,6.55,15000,10.91,25000,21.82,50000,4.36,10000,5.46,12500,8.73,20000,,,0.75,10000,0.75,10000
49,6.55,15000,10.91,25000,21.82,50000,4.36,10000,5.46,12500,8.73,20000,,,0.75,10000,0.75,10000
50,10.70,15000,17.84,25000,21.40,30000,3.57,5000,8.92,12500,10.70,15000,,,0.75,10000,0.75,10000
51,10.70,15000,17.84,25000,21.40,30000,3.57,5000,8.92,12500,10.70,15000,,,0.75,10000,0.75,10000
52,10.70,15000,17.84,25000,21.40,30000,3.57,5000,8.92,12500,10.70,15000,,,0.75,10000,0.75,10000
53,10.70,15000,17.84,25000,21.40,30000,3.57,5000,8.92,12500,10.70,15000,,,0.75,10000,0.75,10000
54,10.70,15000,17.84,25000,21.40,30000,3.57,5000,8.92,12500,10.70,15000,,,0.75,10000,0.75,10000
55,10.86,10000,16.29,15000,21.72,20000,5.43,5000,8.15,7500,10.86,10000,,,0.75,10000,0.75,10000
56,10.86,10000,16.29,15000,21.72,20000,5.43,5000,8.15,7500,10.86,10000,,,0.75,10000,0.75,10000
57,10.86,10000,16.29,15000,21.72,20000,5.43,5000,8.15,7500,10.86,10000,,,0.75,10000,0.75,10000
58,10.86,10000,16.29,15000,21.72,20000,5.43,5000,8.15,7500,10.86,10000,,,0.75,10000,0.75,10000
59,10.86,10000,16.29,15000,21.72,20000,5.43,5000,8.15,7500,10.86,10000,,,0.75,10000,0.75,10000
60,16.37,10000,16.37,10000,24.56,15000,8.19,5000,8.19,5000,12.28,7500,,,0.75,10000,0.75,10000
61,16.37,10000,16.37,10000,24.56,15000,8.19,5000,8.19,5000,12.28,7500,,,0.75,10000,0.75,10000
62,16.37,10000,16.37,10000,24.56,15000,8.19,5000,8.19,5000,12.28,7500,,,0.75,10000,0.75,10000
63,16.37,10000,16.37,10000,24.56,15000,8.19,5000,8.19,5000,12.28,7500,,,0.75,10000,0.75,10000
64,16.37,10000,16.37,10000,24.56,15000,8.19,5000,8.19,5000,12.28,7500,,,0.75,10000,0.75,10000
65,21.92,10000,21.92,10000,21.92,10000,10.96,5000,10.96,5000,10.96,5000,,,0.75,10000,0.75,10000
66,10.96,5000,10.96,5000,10.96,5000,,,,,,,,,0.75,10000,0.75,10000
67,10.96,5000,10.96,5000,10.96,5000,,,,,,,,,0.75,10000,0.75,10000
68,10.96,5000,10.96,5000,10.96,5000,,,,,,,,,0.75,10000,0.75,10000
69,10.96,5000,10.96,5000,10.96,5000,,,,,,,,,0.75,10000,0.75,10000
70,14.12,5000,14.12,5000,14.12,5000,,,,,,,,,0.75,10000,0.75,10000
