,10000,25000,50000,75000,100000,125000,150000
18,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
19,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
20,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
21,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
22,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
23,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
24,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
25,3.8,6.52,11.04,15.56,20.08,24.6,29.12,
26,3.82,6.54,11.1,15.64,20.2,24.74,29.28,
27,3.84,6.62,11.24,15.84,20.46,25.08,29.7,
28,3.88,6.72,11.44,16.16,20.88,25.6,30.32,
29,3.94,6.86,11.72,16.56,21.42,26.28,31.14,
30,4.0,7.02,12.04,17.06,22.08,27.1,32.12,
31,4.08,7.18,12.36,17.54,22.74,27.92,33.1,
32,4.14,7.34,12.7,18.04,23.38,28.74,34.08,
33,4.22,7.52,13.06,18.58,24.12,29.64,35.18,
34,4.3,7.76,13.5,19.26,25.0,30.76,36.5,
35,4.4,8.02,14.04,20.06,26.08,32.1,38.12,
36,4.56,8.38,14.76,21.16,27.54,33.92,40.3,
37,4.74,8.84,15.7,22.54,29.38,36.24,43.08,
38,4.96,9.4,16.8,24.22,31.62,39.02,46.42,
39,5.22,10.06,18.12,26.18,34.24,42.28,50.34,
40,5.5,10.76,19.54,28.3,37.08,45.84,54.62,
41,5.8,11.48,20.96,30.44,39.92,49.4,58.88,
42,6.08,12.2,22.4,32.6,42.8,53.0,63.22,
43,6.38,12.94,23.88,34.82,45.76,56.72,67.66,
44,6.68,13.72,25.42,37.14,48.84,60.56,72.26,
45,7.02,14.52,27.06,39.58,52.12,64.64,77.18,
46,7.36,15.42,28.82,42.24,55.66,69.06,82.48,
47,7.76,16.38,30.76,45.12,59.5,73.88,88.26,
48,8.16,17.4,32.78,48.18,63.58,78.98,94.36,
49,8.58,18.46,34.9,51.36,67.8,84.26,100.72,
50,9.02,19.54,37.08,54.62,72.16,89.7,107.24,
51,9.46,20.66,39.3,57.96,76.62,95.26,113.92,
52,9.92,21.8,41.62,61.42,81.24,101.04,120.84,
53,10.42,23.02,44.06,65.08,86.12,107.14,128.18,
54,10.94,24.34,46.7,69.04,91.38,113.74,136.08,
55,11.52,25.8,49.6,73.4,97.2,121.0,144.78,
56,12.16,27.42,52.82,78.24,103.66,129.06,154.48,
57,12.88,29.2,56.38,83.58,110.76,137.96,165.16,
58,13.64,31.12,60.24,89.34,118.46,147.58,176.7,
59,14.46,33.16,64.32,95.5,126.66,157.82,188.98,
60,15.32,35.3,68.62,101.92,135.24,168.54,201.84,
61,16.2,37.5,73.0,108.5,144.0,179.5,215.0,
62,17.1,39.74,77.48,115.22,152.96,190.7,228.44,
63,18.02,42.04,82.1,122.14,162.2,202.24,242.28,
64,18.98,44.46,86.9,129.36,171.8,214.26,256.72,
65,20.04,47.08,92.16,137.24,182.3,227.38,272.46,
66,21.24,50.08,98.18,146.26,194.34,242.44,290.52,
67,22.68,53.72,105.44,157.16,208.88,260.6,312.32,
68,24.5,58.26,114.54,170.8,227.08,283.34,339.62,
69,26.78,63.98,125.94,187.92,249.88,311.86,373.82,
70,29.64,71.12,140.24,209.34,278.46,347.58,416.7,
