,10000,25000,50000,75000,100000,125000,150000
18,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
19,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
20,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
21,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
22,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
23,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
24,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
25,8.23,14.13,23.92,33.71,43.51,53.3,63.09,
26,8.28,14.17,24.05,33.89,43.77,53.6,63.44,
27,8.32,14.34,24.35,34.32,44.33,54.34,64.35,
28,8.41,14.56,24.79,35.01,45.24,55.47,65.69,
29,8.54,14.86,25.39,35.88,46.41,56.94,67.47,
30,8.67,15.21,26.09,36.96,47.84,58.72,69.59,
31,8.84,15.56,26.78,38.0,49.27,60.49,71.72,
32,8.97,15.9,27.52,39.09,50.66,62.27,73.84,
33,9.14,16.29,28.3,40.26,52.26,64.22,76.22,
34,9.32,16.81,29.25,41.73,54.17,66.65,79.08,
35,9.53,17.38,30.42,43.46,56.51,69.55,82.59,
36,9.88,18.16,31.98,45.85,59.67,73.49,87.32,
37,10.27,19.15,34.02,48.84,63.66,78.52,93.34,
38,10.75,20.37,36.4,52.48,68.51,84.54,100.58,
39,11.31,21.8,39.26,56.72,74.19,91.61,109.07,
40,11.92,23.31,42.34,61.32,80.34,99.32,118.34,
41,12.57,24.87,45.41,65.95,86.49,107.03,127.57,
42,13.17,26.43,48.53,70.63,92.73,114.83,136.98,
43,13.82,28.04,51.74,75.44,99.15,122.89,146.6,
44,14.47,29.73,55.08,80.47,105.82,131.21,156.56,
45,15.21,31.46,58.63,85.76,112.93,140.05,167.22,
46,15.95,33.41,62.44,91.52,120.6,149.63,178.71,
47,16.81,35.49,66.65,97.76,128.92,160.07,191.23,
48,17.68,37.7,71.02,104.39,137.76,171.12,204.45,
49,18.59,40.0,75.62,111.28,146.9,182.56,218.23,
50,19.54,42.34,80.34,118.34,156.35,194.35,232.35,
51,20.5,44.76,85.15,125.58,166.01,206.4,246.83,
52,21.49,47.23,90.18,133.08,176.02,218.92,261.82,
53,22.58,49.88,95.46,141.01,186.59,232.14,277.72,
54,23.7,52.74,101.18,149.59,197.99,246.44,294.84,
55,24.96,55.9,107.47,159.03,210.6,262.17,313.69,
56,26.35,59.41,114.44,169.52,224.6,279.63,334.71,
57,27.91,63.27,122.16,181.09,239.98,298.91,357.85,
58,29.55,67.43,130.52,193.57,256.66,319.76,382.85,
59,31.33,71.85,139.36,206.92,274.43,341.94,409.46,
60,33.19,76.48,148.68,220.83,293.02,365.17,437.32,
61,35.1,81.25,158.17,235.08,312.0,388.92,465.83,
62,37.05,86.1,167.87,249.64,331.41,413.18,494.95,
63,39.04,91.09,177.88,264.64,351.43,438.19,524.94,
64,41.12,96.33,188.28,280.28,372.23,464.23,556.23,
65,43.42,102.01,199.68,297.35,394.98,492.66,590.33,
66,46.02,108.51,212.72,316.9,421.07,525.29,629.46,
67,49.14,116.39,228.45,340.51,452.57,564.63,676.69,
68,53.08,126.23,248.17,370.07,492.01,613.9,735.84,
69,58.02,138.62,272.87,407.16,541.41,675.7,809.94,
70,64.22,154.09,303.85,453.57,603.33,753.09,902.85,
