,10000,25000,50000,75000,100000,125000,150000
18,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
19,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
20,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
21,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
22,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
23,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
24,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
25,4.12,7.06,11.96,16.86,21.75,26.65,31.55,
26,4.14,7.08,12.02,16.94,21.88,26.8,31.72,
27,4.16,7.17,12.18,17.16,22.16,27.17,32.17,
28,4.2,7.28,12.39,17.51,22.62,27.73,32.85,
29,4.27,7.43,12.7,17.94,23.21,28.47,33.73,
30,4.33,7.6,13.04,18.48,23.92,29.36,34.8,
31,4.42,7.78,13.39,19.0,24.63,30.25,35.86,
32,4.48,7.95,13.76,19.54,25.33,31.13,36.92,
33,4.57,8.15,14.15,20.13,26.13,32.11,38.11,
34,4.66,8.41,14.62,20.87,27.08,33.32,39.54,
35,4.77,8.69,15.21,21.73,28.25,34.77,41.3,
36,4.94,9.08,15.99,22.92,29.83,36.75,43.66,
37,5.13,9.58,17.01,24.42,31.83,39.26,46.67,
38,5.37,10.18,18.2,26.24,34.25,42.27,50.29,
39,5.65,10.9,19.63,28.36,37.09,45.8,54.53,
40,5.96,11.66,21.17,30.66,40.17,49.66,59.17,
41,6.28,12.44,22.71,32.98,43.25,53.52,63.79,
42,6.59,13.22,24.27,35.32,46.37,57.42,68.49,
43,6.91,14.02,25.87,37.72,49.57,61.45,73.3,
44,7.24,14.86,27.54,40.23,52.91,65.61,78.28,
45,7.6,15.73,29.31,42.88,56.46,70.03,83.61,
46,7.97,16.7,31.22,45.76,60.3,74.81,89.35,
47,8.41,17.74,33.32,48.88,64.46,80.04,95.61,
48,8.84,18.85,35.51,52.19,68.88,85.56,102.22,
49,9.29,20.0,37.81,55.64,73.45,91.28,109.11,
50,9.77,21.17,40.17,59.17,78.17,97.17,116.18,
51,10.25,22.38,42.57,62.79,83.0,103.2,123.41,
52,10.75,23.62,45.09,66.54,88.01,109.46,130.91,
53,11.29,24.94,47.73,70.5,93.3,116.07,138.86,
54,11.85,26.37,50.59,74.79,98.99,123.22,147.42,
55,12.48,27.95,53.73,79.52,105.3,131.08,156.84,
56,13.17,29.7,57.22,84.76,112.3,139.81,167.35,
57,13.95,31.63,61.08,90.54,119.99,149.46,178.92,
58,14.78,33.71,65.26,96.78,128.33,159.88,191.42,
59,15.66,35.92,69.68,103.46,137.21,170.97,204.73,
60,16.6,38.24,74.34,110.41,146.51,182.58,218.66,
61,17.55,40.63,79.08,117.54,156.0,194.46,232.92,
62,18.52,43.05,83.94,124.82,165.71,206.59,247.48,
63,19.52,45.54,88.94,132.32,175.72,219.09,262.47,
64,20.56,48.16,94.14,140.14,186.12,232.11,278.11,
65,21.71,51.0,99.84,148.68,197.49,246.33,295.16,
66,23.01,54.25,106.36,158.45,210.53,262.64,314.73,
67,24.57,58.2,114.23,170.26,226.29,282.32,338.35,
68,26.54,63.11,124.08,185.03,246.0,306.95,367.92,
69,29.01,69.31,136.44,203.58,270.7,337.85,404.97,
70,32.11,77.05,151.93,226.78,301.66,376.54,451.42,
