,20,25,30,35,40,45,50
18,40000,52766,65532,78298,91064,103830,116596
19,40000,52766,65532,78298,91064,103830,116596
20,40000,52766,65532,78298,91064,103830,116596
21,40000,52766,65532,78298,91064,103830,116596
22,40000,52766,65532,78298,91064,103830,116596
23,40000,52766,65532,78298,91064,103830,116596
24,40000,52766,65532,78298,91064,103830,116596
25,40000,52766,65532,78298,91064,103830,116596
26,39746,52431,65116,77801,90486,103171,115856
27,39167,51667,64167,76667,89167,101667,114167
28,38289,50509,62729,74949,87169,99389,111609
29,37228,49109,60990,72871,84752,96634,108515
30,36015,47510,59004,70498,81992,93487,104981
31,34879,46011,57143,68275,79406,90538,101670
32,33813,44604,55396,66187,76978,87770,98561
33,32696,43130,53565,64000,74435,84870,95304
34,31438,41472,51505,61538,71572,81605,91639
35,30032,39617,49201,58786,68371,77955,87540
36,28313,37349,46386,55422,64458,73494,82530
37,26404,34831,43258,51685,60112,68539,76966
38,24416,32208,40000,47792,55584,63377,71169
39,22434,29594,36754,43914,51074,58234,65394
40,20614,27193,33772,40351,46930,53509,60088
41,19067,25152,31237,37323,43408,49493,55578
42,17719,23374,29029,34684,40339,45994,51649
43,16520,21793,27065,32337,37610,42882,48155
44,15435,20361,25287,30213,35140,40066,44992
45,14428,19033,23638,28243,32847,37452,42057
46,13477,17778,22079,26380,30681,34982,39283
47,12575,16589,20602,24615,28629,32642,36656
48,11743,15490,19238,22986,26733,30481,34229
49,10988,14494,18001,21508,25015,28521,32028
50,10307,13596,16886,20175,23465,26754,30044
51,9691,12784,15876,18969,22062,25155,28247
52,9126,12039,14951,17864,20777,23689,26602
53,8596,11340,14083,16827,19570,22314,25057
54,8090,10671,13253,15835,18417,20998,23580
55,7596,10020,12444,14869,17293,19717,22141
56,7113,9383,11653,13924,16194,18464,20734
57,6648,8769,10891,13013,15134,17256,19378
58,6209,8190,10172,12153,14135,16116,18098
59,,7652,9503,11355,13206,15057,16908
60,,7159,8891,10624,12356,14088,15820
61,,6717,8342,9967,11593,13218,14843
62,,6318,7847,9376,10904,12433,13962
63,,,7395,8836,10276,11717,13157
64,,,6976,8335,9694,11053,12412
65,,,6570,7850,9130,10410,11689
66,,,6159,7359,8558,9758,10958
67,,,,6841,7957,9072,10188
68,,,,6288,7314,8339,9364
69,,,,,6641,7572,8503
70,,,,,,6789,7624
