age,emp1_prem,emp1_cov,emp2_prem,emp2_cov,emp3_prem,emp3_cov,sp1_prem,sp1_cov,sp2_prem,sp2_cov,sp3_prem,sp3_cov,ch1_prem,ch1_cov,ch2_prem,ch2_cov,ch3_prem,ch3_cov
18,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
19,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
20,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
21,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
22,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
23,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
24,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
25,8.17,100000,9.97,125000,11.76,150000,1.72,10000,4.59,50000,6.38,75000,,,1.15,10000,2.3,20000
26,8.21,100000,10.01,125000,11.82,150000,1.72,10000,4.61,50000,6.41,75000,,,1.15,10000,2.3,20000
27,8.35,100000,10.18,125000,12.02,150000,1.73,10000,4.67,50000,6.51,75000,,,1.15,10000,2.3,20000
28,8.56,100000,10.45,125000,12.34,150000,1.76,10000,4.78,50000,6.67,75000,,,1.15,10000,2.3,20000
29,8.87,100000,10.83,125000,12.8,150000,1.79,10000,4.93,50000,6.9,75000,,,1.15,10000,2.3,20000
30,9.27,100000,11.34,125000,13.4,150000,1.83,10000,5.13,50000,7.2,75000,,,1.15,10000,2.3,20000
31,9.71,100000,11.89,125000,14.07,150000,1.87,10000,5.36,50000,7.53,75000,,,1.15,10000,2.3,20000
32,10.21,100000,12.51,125000,14.82,150000,1.92,10000,5.61,50000,7.91,75000,,,1.15,10000,2.3,20000
33,10.75,100000,13.19,125000,15.63,150000,1.98,10000,5.88,50000,8.31,75000,,,1.15,10000,2.3,20000
34,11.37,100000,13.96,125000,16.55,150000,2.04,10000,6.18,50000,8.77,75000,,,1.15,10000,2.3,20000
35,12.04,100000,14.8,125000,17.56,150000,2.1,10000,6.52,50000,9.28,75000,,,1.15,10000,2.3,20000
36,12.79,100000,15.74,125000,18.68,150000,2.18,10000,6.89,50000,9.84,75000,,,1.15,10000,2.3,20000
37,13.6,100000,16.75,125000,19.89,150000,2.26,10000,7.3,50000,10.45,75000,,,1.15,10000,2.3,20000
38,14.46,100000,17.83,125000,21.19,150000,2.35,10000,7.73,50000,11.1,75000,,,1.15,10000,2.3,20000
39,15.4,100000,19,125000,22.61,150000,2.44,10000,8.2,50000,11.8,75000,,,1.15,10000,2.3,20000
40,16.44,100000,20.3,125000,24.16,150000,2.54,10000,8.72,50000,12.58,75000,,,1.15,10000,2.3,20000
41,13.46,75000,21.77,125000,25.92,150000,2.66,10000,9.31,50000,13.46,75000,,,1.15,10000,2.3,20000
42,14.41,75000,18.88,100000,27.83,150000,2.79,10000,9.94,50000,14.41,75000,,,1.15,10000,2.3,20000
43,15.41,75000,20.21,100000,25.01,125000,2.92,10000,10.61,50000,10.61,50000,,,1.15,10000,2.3,20000
44,16.45,75000,21.6,100000,26.75,125000,3.06,10000,11.3,50000,11.3,50000,,,1.15,10000,2.3,20000
45,12.03,50000,17.54,75000,23.06,100000,3.21,10000,6.51,25000,12.03,50000,,,1.15,10000,2.3,20000
46,12.78,50000,18.67,75000,24.56,100000,3.36,10000,6.89,25000,12.78,50000,,,1.15,10000,2.3,20000
47,13.56,50000,19.84,75000,26.12,100000,3.51,10000,7.28,25000,13.56,50000,,,1.15,10000,2.3,20000
48,14.36,50000,21.03,75000,27.71,100000,3.67,10000,7.68,25000,14.36,50000,,,1.15,10000,2.3,20000
49,15.21,50000,22.32,75000,36.53,125000,3.84,10000,8.11,25000,15.21,50000,,,1.15,10000,2.3,20000
50,16.15,50000,23.73,75000,31.31,100000,4.03,10000,8.58,25000,16.15,50000,,,1.15,10000,2.3,20000
51,17.22,50000,25.33,75000,33.44,100000,4.24,10000,9.11,25000,17.22,50000,,,1.15,10000,2.3,20000
52,18.45,50000,27.18,75000,35.9,100000,4.49,10000,9.73,25000,18.45,50000,,,1.15,10000,2.3,20000
53,19.84,50000,19.84,50000,29.25,75000,4.77,10000,10.42,25000,10.42,25000,,,1.15,10000,2.3,20000
54,21.38,50000,21.38,50000,31.58,75000,5.08,10000,11.19,25000,11.19,25000,,,1.15,10000,2.3,20000
55,12.02,25000,23.04,50000,34.06,75000,5.41,10000,12.02,25000,12.02,25000,,,1.15,10000,2.3,20000
56,12.9,25000,24.8,50000,36.7,75000,5.76,10000,12.9,25000,12.9,25000,,,1.15,10000,2.3,20000
57,6.12,10000,13.81,25000,26.62,50000,6.12,10000,6.12,10000,13.81,25000,,,1.15,10000,2.3,20000
58,6.5,10000,14.74,25000,28.48,50000,6.5,10000,6.5,10000,14.74,25000,,,1.15,10000,2.3,20000
59,6.88,10000,15.7,25000,30.4,50000,6.88,10000,6.88,10000,15.7,25000,,,1.15,10000,2.3,20000
60,7.28,10000,16.71,25000,32.41,50000,7.28,10000,7.28,10000,16.71,25000,,,1.15,10000,2.3,20000
61,7.7,10000,17.75,25000,34.51,50000,7.7,10000,7.7,10000,17.75,25000,,,1.15,10000,2.3,20000
62,8.14,10000,18.86,25000,36.71,50000,8.14,10000,8.14,10000,18.86,25000,,,1.15,10000,2.3,20000
63,8.61,10000,20.03,25000,39.07,50000,8.61,10000,8.61,10000,20.03,25000,,,1.15,10000,2.3,20000
64,9.13,10000,21.32,25000,41.63,50000,9.13,10000,9.13,10000,21.32,25000,,,1.15,10000,2.3,20000
65,9.71,10000,22.76,25000,44.53,50000,9.71,10000,9.71,10000,22.76,25000,,,1.15,10000,2.3,20000
66,10.37,10000,24.42,25000,47.84,50000,10.37,10000,10.37,10000,24.42,25000,,,1.15,10000,2.3,20000
67,11.13,10000,26.34,25000,51.67,50000,11.13,10000,11.13,10000,26.34,25000,,,1.15,10000,2.3,20000
68,12.01,10000,28.52,25000,56.04,50000,12.01,10000,12.01,10000,28.52,25000,,,1.15,10000,2.3,20000
69,13,10000,31,25000,60.99,50000,13,10000,13,10000,31,25000,,,1.15,10000,2.3,20000
70,14.12,10000,33.79,25000,66.58,50000,14.12,10000,14.12,10000,33.79,25000,,,1.15,10000,2.3,20000
