,10000,25000,50000,75000,100000,125000,150000
18,3.30,5.26,8.52,11.78,15.04,18.30,21.56
19,3.30,5.26,8.52,11.78,15.04,18.30,21.56
20,3.30,5.26,8.52,11.78,15.04,18.30,21.56
21,3.30,5.26,8.52,11.78,15.04,18.30,21.56
22,3.30,5.26,8.52,11.78,15.04,18.30,21.56
23,3.30,5.26,8.52,11.78,15.04,18.30,21.56
24,3.30,5.26,8.52,11.78,15.04,18.30,21.56
25,3.30,5.26,8.52,11.78,15.04,18.30,21.56
26,3.31,5.28,8.56,11.84,15.12,18.39,21.67
27,3.33,5.34,8.67,12.01,15.35,18.68,22.02
28,3.37,5.43,8.87,12.30,15.73,19.16,22.60
29,3.43,5.58,9.15,12.73,16.31,19.88,23.46
30,3.50,5.76,9.52,13.28,17.04,20.80,24.56
31,3.58,5.96,9.92,13.88,17.85,21.81,25.77
32,3.67,6.18,10.37,14.55,18.73,22.91,27.10
33,3.77,6.43,10.87,15.30,19.73,24.16,28.60
34,3.88,6.71,11.42,16.13,20.85,25.56,30.27
35,4.01,7.02,12.04,17.06,22.08,27.10,32.12
36,4.14,7.36,12.71,18.07,23.42,28.78,34.13
37,4.29,7.72,13.44,19.16,24.88,30.61,36.33
38,4.45,8.12,14.23,20.35,26.46,32.58,38.69
39,4.62,8.55,15.10,21.64,28.19,34.74,41.29
40,4.81,9.02,16.04,23.06,30.08,37.10,44.12
41,5.02,9.55,17.10,24.64,32.19,39.74,47.29
42,5.25,10.13,18.25,26.38,34.50,42.63,50.75
43,5.49,10.73,19.46,28.19,36.92,45.65,54.38
44,5.75,11.37,20.73,30.10,39.46,48.83,58.19
45,6.01,12.03,22.06,32.09,42.12,52.14,62.17
46,6.28,12.71,23.42,34.13,44.85,55.56,66.27
47,6.57,13.41,24.83,36.24,47.65,59.07,70.48
48,6.86,14.14,26.29,38.43,50.58,62.72,74.87
49,7.17,14.92,27.85,40.77,53.69,66.62,79.54
50,7.51,15.78,29.56,43.34,57.12,70.89,84.67
51,7.90,16.75,31.50,46.25,61.00,75.75,90.50
52,8.35,17.87,33.73,49.60,65.46,81.33,97.19
53,8.85,19.13,36.25,53.38,70.50,87.63,104.75
54,9.41,20.53,39.06,57.59,76.12,94.64,113.17
55,10.02,22.04,42.08,62.12,82.15,102.19,122.23
56,10.65,23.63,45.27,66.90,88.54,110.17,131.81
57,11.32,25.29,48.58,71.87,95.15,118.44,141.73
58,11.99,26.98,51.96,76.94,101.92,126.90,151.88
59,12.69,28.73,55.46,82.19,108.92,135.65,162.38
60,13.42,30.56,59.12,87.67,116.23,144.79,173.35
61,14.18,32.46,62.92,93.38,123.85,154.31,184.77
62,14.98,34.46,66.92,99.38,131.85,164.31,196.77
63,15.84,36.61,71.21,105.82,140.42,175.03,209.63
64,16.78,38.94,75.88,112.83,149.77,186.71,223.65
65,17.83,41.57,81.13,120.70,160.27,199.84,239.40
66,19.03,44.58,87.15,129.73,172.31,214.88,257.46
67,20.43,48.07,94.13,140.20,186.27,232.34,278.40
68,22.02,52.04,102.08,152.12,202.15,252.19,302.23
69,23.82,56.54,111.08,165.62,220.15,274.69,329.23
70,25.85,61.62,121.23,180.85,240.46,300.08,359.69
