,10000,25000,50000,75000,100000,125000,150000
18,3.58,5.7,9.23,12.76,16.29,19.82,23.35
19,3.58,5.7,9.23,12.76,16.29,19.82,23.35
20,3.58,5.7,9.23,12.76,16.29,19.82,23.35
21,3.58,5.7,9.23,12.76,16.29,19.82,23.35
22,3.58,5.7,9.23,12.76,16.29,19.82,23.35
23,3.58,5.7,9.23,12.76,16.29,19.82,23.35
24,3.58,5.7,9.23,12.76,16.29,19.82,23.35
25,3.58,5.7,9.23,12.76,16.29,19.82,23.35
26,3.59,5.72,9.27,12.82,16.38,19.93,23.48
27,3.61,5.78,9.4,13.01,16.63,20.24,23.85
28,3.65,5.89,9.6,13.32,17.04,20.76,24.48
29,3.72,6.04,9.92,13.79,17.67,21.54,25.42
30,3.8,6.24,10.31,14.39,18.46,22.53,26.6
31,3.88,6.46,10.75,15.04,19.33,23.63,27.92
32,3.98,6.7,11.23,15.76,20.29,24.82,29.35
33,4.09,6.97,11.77,16.57,21.38,26.18,30.98
34,4.21,7.27,12.38,17.48,22.58,27.69,32.79
35,4.34,7.6,13.04,18.48,23.92,29.35,34.79
36,4.49,7.97,13.77,19.57,25.38,31.18,36.98
37,4.65,8.36,14.56,20.76,26.96,33.16,39.35
38,4.82,8.79,15.42,22.04,28.67,35.29,41.92
39,5,9.26,16.35,23.45,30.54,37.64,44.73
40,5.21,9.77,17.38,24.98,32.58,40.19,47.79
41,5.44,10.34,18.52,26.7,34.88,43.05,51.23
42,5.69,10.97,19.77,28.57,37.38,46.18,54.98
43,5.95,11.63,21.08,30.54,40,49.46,58.92
44,6.23,12.31,22.46,32.6,42.75,52.9,63.04
45,6.51,13.03,23.9,34.76,45.63,56.49,67.35
46,6.81,13.77,25.38,36.98,48.58,60.19,71.79
47,7.11,14.53,26.9,39.26,51.63,63.99,76.35
48,7.43,15.32,28.48,41.64,54.79,67.95,81.1
49,7.77,16.17,30.17,44.17,58.17,72.17,86.17
50,8.14,17.09,32.02,46.95,61.88,76.8,91.73
51,8.56,18.15,34.13,50.1,66.08,82.06,98.04
52,9.04,19.35,36.54,53.73,70.92,88.1,105.29
53,9.59,20.72,39.27,57.82,76.38,94.93,113.48
54,10.2,22.24,42.31,62.39,82.46,102.53,122.6
55,10.85,23.88,45.58,67.29,89,110.71,132.42
56,11.54,25.6,49.04,72.48,95.92,119.35,142.79
57,12.26,27.4,52.63,77.85,103.08,128.31,153.54
58,12.99,29.23,56.29,83.35,110.42,137.48,164.54
59,13.75,31.13,60.08,89.04,118,146.96,175.92
60,14.54,33.1,64.04,94.98,125.92,156.85,187.79
61,15.37,35.17,68.17,101.17,134.17,167.17,200.17
62,16.23,37.33,72.5,107.67,142.83,178,213.17
63,17.16,39.66,77.15,114.64,152.13,189.61,227.1
64,18.18,42.19,82.21,122.23,162.25,202.27,242.29
65,19.31,45.03,87.9,130.76,173.63,216.49,259.35
66,20.62,48.29,94.42,140.54,186.67,232.79,278.92
67,22.13,52.07,101.98,151.89,201.79,251.7,301.6
68,23.85,56.38,110.58,164.79,219,273.21,327.42
69,25.8,61.25,120.33,179.42,238.5,297.58,356.67
70,28,66.75,131.33,195.92,260.5,325.08,389.67
