,5,7.5,10,12.5,15,17.5,20,22.5
18,14561,27409,40257,53105,65953,78801,91649,104497
19,14561,27409,40257,53105,65953,78801,91649,104497
20,14561,27409,40257,53105,65953,78801,91649,104497
21,14561,27409,40257,53105,65953,78801,91649,104497
22,14561,27409,40257,53105,65953,78801,91649,104497
23,14561,27409,40257,53105,65953,78801,91649,104497
24,14561,27409,40257,53105,65953,78801,91649,104497
25,14561,27409,40257,53105,65953,78801,91649,104497
26,14468,27234,40000,52766,65532,78298,91064,103830
27,14256,26834,39413,51992,64570,77149,89727,102306
28,13821,26016,38211,50407,62602,74797,86992,99187
29,13281,25000,36719,48438,60156,71875,83594,95313
30,12663,23836,35009,46182,57356,68529,79702,90875
31,11993,22575,33157,43739,54321,64903,75485,86067
32,11352,21369,31386,41402,51419,61436,71452,81469
33,10709,20157,29606,39055,48504,57953,67402,76850
34,10089,18991,27893,36795,45697,54599,63501,72404
35,9484,17852,26220,34589,42957,51325,59693,68061
36,8866,16688,24511,32334,40156,47979,55802,63625
37,8303,15629,22955,30281,37607,44933,52259,59585
38,7771,14629,21486,28343,35200,42057,48914,55771
39,7265,13675,20085,26496,32906,39316,45726,52137
40,6773,12749,18725,24701,30677,36653,42629,48606
41,6296,11852,17407,22963,28519,34074,39630,45185
42,5847,11006,16165,21324,26483,31642,36801,41960
43,5440,10240,15040,19840,24640,29440,34240,39040
44,5075,9552,14030,18507,22985,27463,31940,36418
45,,8926,13110,17294,21478,25662,29847,34031
46,,8355,12272,16188,20104,24021,27937,31854
47,,7843,11520,15196,18873,22549,26225,29902
48,,7369,10823,14277,17732,21186,24640,28094
49,,6926,10173,13420,16667,19913,23160,26407
50,,6497,9543,12589,15635,18680,21726,24772
51,,6069,8914,11759,14604,17449,20294,23139
52,,5639,8282,10925,13568,16211,18855,21498
53,,5224,7673,10122,12571,15020,17469,19918
54,,,7092,9355,11618,13882,16145,18408
55,,,6562,8656,10750,12845,14939,17033
56,,,6074,8013,9952,11890,13829,15767
57,,,5646,7447,9249,11051,12853,14655
58,,,5262,6941,8620,10299,11979,13658
59,,,,6489,8059,9628,11198,12768
60,,,,6071,7540,9009,10477,11946
61,,,,5693,7071,8448,9826,11203
62,,,,5341,6634,7926,9218,10510
63,,,,5011,6223,7436,8648,9861
64,,,,,5830,6966,8101,9237
65,,,,,5442,6502,7562,8622
66,,,,,5058,6044,7029,8014
67,,,,,,5586,6497,7407
68,,,,,,5143,5982,6820
69,,,,,,,5488,6257
70,,,,,,,5021,5724
