,5,7.5,10,12.5,15,17.5,20,22.5
18,18231,34316,50402,66488,82574,98660,114745,130831
19,18231,34316,50402,66488,82574,98660,114745,130831
20,18231,34316,50402,66488,82574,98660,114745,130831
21,18231,34316,50402,66488,82574,98660,114745,130831
22,18231,34316,50402,66488,82574,98660,114745,130831
23,18231,34316,50402,66488,82574,98660,114745,130831
24,18231,34316,50402,66488,82574,98660,114745,130831
25,18231,34316,50402,66488,82574,98660,114745,130831
26,18133,34133,50133,66133,82133,98133,114133,130133
27,17801,33508,49215,64921,80628,96335,112042,127749
28,17303,32570,47837,63104,78372,93639,108906,124173
29,16626,31296,45966,60636,75306,89976,104645,119315
30,15814,29767,43721,57674,71628,85581,99535,113488
31,15011,28256,41501,54746,67991,81236,94481,107726
32,14196,26722,39248,51775,64301,76827,89353,101879
33,13412,25247,37081,48915,60750,72584,84418,96252
34,12616,23748,34879,46011,57143,68275,79406,90538
35,11847,22300,32753,43206,53659,64111,74564,85017
36,11093,20881,30669,40457,50245,60033,69821,79608
37,10382,19542,28702,37863,47023,56183,65344,74504
38,9714,18286,26857,35429,44000,52571,61143,69714
39,9079,17089,25100,33111,41121,49132,57143,65154
40,8468,15940,23412,30884,38356,45828,53300,60772
41,7870,14815,21759,28704,35648,42593,49537,56481
42,7312,13763,20215,26667,33118,39570,46022,52473
43,6807,12813,18819,24825,30831,36837,42843,48849
44,6349,11951,17554,23156,28758,34360,39963,45565
45,5929,11160,16391,21622,26853,32084,37315,42546
46,5551,10449,15347,20245,25143,30041,34939,39837
47,5207,9801,14395,18989,23583,28178,32772,37366
48,,9215,13535,17855,22174,26494,30814,35133
49,,8660,12720,16779,20839,24899,28958,33018
50,,8122,11929,15736,19543,23350,27157,30964
51,,7587,11144,14701,18257,21814,25370,28927
52,,7052,10358,13664,16970,20275,23581,26887
53,,6534,9597,12660,15722,18785,21848,24911
54,,6038,8868,11698,14528,17358,20189,23019
55,,5585,8202,10820,13438,16056,18674,21291
56,,5172,7596,10020,12444,14869,17293,19717
57,,,7057,9309,11562,13814,16066,18318
58,,,6578,8677,10777,12876,14976,17075
59,,,6148,8110,10072,12034,13996,15958
60,,,5755,7591,9428,11264,13101,14937
61,,,5395,7116,8838,10560,12281,14003
62,,,5062,6677,8293,9908,11524,13139
63,,,,6264,7780,9295,10811,12326
64,,,,5868,7288,8708,10128,11548
65,,,,5478,6804,8129,9454,10780
66,,,,5091,6323,7555,8787,10018
67,,,,,5844,6983,8121,9260
68,,,,,5381,6429,7477,8526
69,,,,,,5898,6860,7822
70,,,,,,5396,6276,7155
