,10000,20000,25000,30000,40000,50000,60000,70000,75000,80000,90000,100000,110000,125000,130000,140000,150000
18,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
19,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
20,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
21,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
22,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
23,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
24,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
25,1.78,2.55,2.94,3.33,4.11,4.88,5.66,6.44,6.83,7.22,7.99,8.77,9.55,10.71,11.10,11.88,12.65
26,1.78,2.57,2.96,3.35,4.13,4.91,5.70,6.48,6.87,7.26,8.04,8.83,9.61,10.78,11.18,11.96,12.74
27,1.79,2.59,2.99,3.38,4.18,4.97,5.77,6.56,6.96,7.35,8.15,8.94,9.74,10.93,11.32,12.12,12.91
28,1.82,2.64,3.05,3.46,4.28,5.10,5.92,6.73,7.14,7.55,8.37,9.19,10.01,11.24,11.65,12.47,13.29
29,1.85,2.70,3.13,3.56,4.41,5.26,6.11,6.96,7.39,7.82,8.67,9.52,10.37,11.65,12.07,12.93,13.78
30,1.89,2.79,3.24,3.68,4.58,5.47,6.37,7.26,7.71,8.15,9.05,9.94,10.84,12.18,12.63,13.52,14.41
31,1.94,2.89,3.36,3.83,4.78,5.72,6.67,7.61,8.08,8.55,9.50,10.44,11.39,12.80,13.27,14.22,15.16
