age,emp1_prem,emp1_cov,emp2_prem,emp2_cov,emp3_prem,emp3_cov,sp1_prem,sp1_cov,sp2_prem,sp2_cov,sp3_prem,sp3_cov,ch1_prem,ch1_cov,ch2_prem,ch2_cov,ch3_prem,ch3_cov
18,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
19,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
20,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
21,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
22,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
23,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
24,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
25,7.52,100000,9.15,125000,10.78,150000,1.65,10000,4.26,50000,5.89,75000,,,1.15,10000,2.30,20000
26,7.56,100000,9.20,125000,10.84,150000,1.66,10000,4.28,50000,5.92,75000,,,1.15,10000,2.30,20000
27,7.67,100000,9.34,125000,11.01,150000,1.67,10000,4.34,50000,6.00,75000,,,1.15,10000,2.30,20000
28,7.87,100000,9.58,125000,11.30,150000,1.69,10000,4.43,50000,6.15,75000,,,1.15,10000,2.30,20000
29,8.15,100000,9.94,125000,11.73,150000,1.72,10000,4.58,50000,6.37,75000,,,1.15,10000,2.30,20000
30,8.52,100000,10.40,125000,12.28,150000,1.75,10000,4.76,50000,6.64,75000,,,1.15,10000,2.30,20000
31,8.92,100000,10.90,125000,12.88,150000,1.79,10000,4.96,50000,6.94,75000,,,1.15,10000,2.30,20000
32,9.37,100000,11.46,125000,13.55,150000,1.84,10000,5.18,50000,7.27,75000,,,1.15,10000,2.30,20000
33,9.87,100000,12.08,125000,14.30,150000,1.89,10000,5.43,50000,7.65,75000,,,1.15,10000,2.30,20000
34,10.42,100000,12.78,125000,15.13,150000,1.94,10000,5.71,50000,8.07,75000,,,1.15,10000,2.30,20000
35,11.04,100000,13.55,125000,16.06,150000,2.00,10000,6.02,50000,8.53,75000,,,1.15,10000,2.30,20000
36,11.71,100000,14.39,125000,17.07,150000,2.07,10000,6.36,50000,9.03,75000,,,1.15,10000,2.30,20000
37,12.44,100000,15.30,125000,18.16,150000,2.14,10000,6.72,50000,9.58,75000,,,1.15,10000,2.30,20000
38,13.23,100000,16.29,125000,19.35,150000,2.22,10000,7.12,50000,10.17,75000,,,1.15,10000,2.30,20000
39,14.10,100000,17.37,125000,20.64,150000,2.31,10000,7.55,50000,10.82,75000,,,1.15,10000,2.30,20000
40,15.04,100000,18.55,125000,22.06,150000,2.40,10000,8.02,50000,11.53,75000,,,1.15,10000,2.30,20000
41,12.32,75000,19.87,125000,23.64,150000,2.51,10000,8.55,50000,12.32,75000,,,1.15,10000,2.30,20000
42,13.19,75000,17.25,100000,25.38,150000,2.63,10000,9.13,50000,13.19,75000,,,1.15,10000,2.30,20000
43,14.10,75000,18.46,100000,22.83,125000,2.75,10000,9.73,50000,9.73,50000,,,1.15,10000,2.30,20000
44,15.05,75000,19.73,100000,24.41,125000,2.87,10000,10.37,50000,10.37,50000,,,1.15,10000,2.30,20000
45,11.03,50000,16.04,75000,21.06,100000,3.01,10000,6.01,25000,11.03,50000,,,1.15,10000,2.30,20000
46,11.71,50000,17.07,75000,22.42,100000,3.14,10000,6.36,25000,11.71,50000,,,1.15,10000,2.30,20000
47,12.41,50000,18.12,75000,23.83,100000,3.28,10000,6.71,25000,12.41,50000,,,1.15,10000,2.30,20000
48,13.14,50000,19.22,75000,25.29,100000,3.43,10000,7.07,25000,13.14,50000,,,1.15,10000,2.30,20000
49,13.92,50000,20.38,75000,33.31,125000,3.58,10000,7.46,25000,13.92,50000,,,1.15,10000,2.30,20000
50,14.78,50000,21.67,75000,28.56,100000,3.76,10000,7.89,25000,14.78,50000,,,1.15,10000,2.30,20000
51,15.75,50000,23.13,75000,30.50,100000,3.95,10000,8.38,25000,15.75,50000,,,1.15,10000,2.30,20000
52,16.87,50000,24.80,75000,32.73,100000,4.17,10000,8.93,25000,16.87,50000,,,1.15,10000,2.30,20000
53,18.13,50000,18.13,50000,26.69,75000,4.43,10000,9.56,25000,9.56,25000,,,1.15,10000,2.30,20000
54,19.53,50000,19.53,50000,28.79,75000,4.71,10000,10.26,25000,10.26,25000,,,1.15,10000,2.30,20000
55,11.02,25000,21.04,50000,31.06,75000,5.01,10000,11.02,25000,11.02,25000,,,1.15,10000,2.30,20000
56,11.82,25000,22.63,50000,33.45,75000,5.33,10000,11.82,25000,11.82,25000,,,1.15,10000,2.30,20000
57,5.66,10000,12.64,25000,24.29,50000,5.66,10000,5.66,10000,12.64,25000,,,1.15,10000,2.30,20000
58,6.00,10000,13.49,25000,25.98,50000,6.00,10000,6.00,10000,13.49,25000,,,1.15,10000,2.30,20000
